date,time,lower,upper
2009-07-23,7,0.325,0.554
2009-07-23,8,0.243,0.562
2009-07-23,9,0.217,0.532
2009-07-23,10,0.245,0.607
2009-07-23,11,0.569,1.782
2009-07-23,12,0.417,0.512
2009-07-23,13,0.269,0.424
2009-07-23,14,0.172,0.607
2009-07-23,15,0.335,0.511
2009-07-23,16,0.594,0.638
2009-07-23,17,0.492,1.138
2009-07-23,18,0.728,0.748
2009-07-23,19,0.848,2.245
2009-07-23,20,0.915,2.502
2009-07-23,21,0.716,0.85
2009-07-23,22,0.536,0.798
2009-07-23,23,2.218,2.487
2009-07-23,24,0.54,0.711
2009-07-24,1,0.269,0.687
2009-07-24,2,0.315,0.579
2009-07-24,3,0.515,0.541
2009-07-24,4,0.326,0.5
2009-07-24,5,0.331,0.532
2009-07-24,6,0.38,0.452
2009-07-24,7,0.259,0.513
2009-07-24,8,0.269,0.601
2009-07-24,9,0.494,0.567
2009-07-24,10,0.296,0.455
2009-07-24,11,1.119,1.194
2009-07-24,12,0.534,1.154
2009-07-24,13,0.19,0.409
2009-07-24,14,0.54,0.863
2009-07-24,15,0.443,0.692
2009-07-24,16,0.37,0.471
2009-07-24,17,0.24,0.454
2009-07-24,18,0.446,0.498
2009-07-24,19,0.196,0.587
2009-07-24,20,0.489,1.342
2009-07-24,21,1.324,1.472
2009-07-24,22,1.274,1.518
2009-07-24,23,0.821,0.898
2009-07-24,24,0.628,0.825
2009-07-25,1,2.349,2.384
2009-07-25,2,0.91,1.202
2009-07-25,3,0.636,1.144
2009-07-25,4,0.61,0.718
2009-07-25,5,0.341,0.668
2009-07-25,6,0.386,0.569
2009-07-25,7,0.331,0.656
2009-07-25,8,0.567,0.637
2009-07-25,9,0.381,0.72
2009-07-25,10,0.553,0.662
2009-07-25,11,0.541,0.629
2009-07-25,12,0.402,0.645
2009-07-25,13,0.307,1.754
2009-07-25,14,0.996,1.322
2009-07-25,15,0.747,1.506
2009-07-25,16,0.468,0.702
2009-07-25,17,0.497,0.823
2009-07-25,18,0.434,0.684
2009-07-25,19,0.754,1.765
2009-07-25,20,0.517,0.613
2009-07-25,21,0.459,0.787
2009-07-25,22,0.398,0.612
2009-07-25,23,0.751,0.758
2009-07-25,24,0.607,1.857
2009-07-26,1,0.851,0.94
2009-07-26,2,0.552,0.774
2009-07-26,3,0.393,1.025
2009-07-26,4,0.573,0.712
2009-07-26,5,0.378,0.597
2009-07-26,6,0.495,0.621
2009-07-26,7,0.359,0.696
2009-07-26,8,0.347,0.583
2009-07-26,9,0.296,0.651
2009-07-26,10,0.376,0.663
2009-07-26,11,0.766,0.794
2009-07-26,12,0.49,0.676
2009-07-26,13,0.731,0.949
2009-07-26,14,0.208,0.248
2009-07-26,15,0.183,0.23
2009-07-26,16,0.178,0.225
2009-07-26,17,0.22,0.233
2009-07-26,18,0.248,0.494
2009-07-26,19,0.351,0.393
2009-07-26,20,0.38,0.472
2009-07-26,21,0.384,0.633
2009-07-26,22,0.519,0.563
2009-07-26,23,0.97,1.264
2009-07-26,24,0.854,1.052
2009-07-27,1,0.537,0.648
2009-07-27,2,0.382,0.534
2009-07-27,3,0.335,0.466
2009-07-27,4,0.438,0.445
2009-07-27,5,0.338,0.459
2009-07-27,6,0.335,0.4
2009-07-27,7,0.346,0.378
2009-07-27,8,0.314,0.323
2009-07-27,9,0.288,0.443
2009-07-27,10,0.474,0.547
